DP Label,Cat Label,Desc,,,,,,,,
0,0,Abstract Factory,,,,,,,,
0,0,Creational,,,,,,,,
0,0,Provide an interface for creating families of related or dependent objects without specifying their concrete classes.,,,,,,,,
0,0,Kit,,,,,,,,
0,0,"Consider a user interface toolkit that supports multiple look-and-feel standards, such as Motif and Presentation Manager. Different look-and-feels define different appearances and behaviors for user interface ""widgets"" like scroll bars, windows, and buttons. To be portable across look-and-feel standards, an application should not hard-code its widgets for a particular look and feel. Instantiating look-and-feel-specific classes of widgets throughout the application makes it hard to change the look and feel later. We can solve this problem by defining an abstract WidgetFactory class that declares an interface for creating each basic kind of widget. There's also an abstract class for each kind of widget, and concrete subclasses implement widgets for specific look-and-feel standards. WidgetFactory's interface has an operation that returns a new widget object for each abstract widget class. Clients call these operations to obtain widget instances, but clients aren't aware of the concrete classes they're using. Thus clients stay independent of the prevailing look and feel. There is a concrete subclass of WidgetFactory for each look-and-feel standard.
Each subclass implements the operations to create the appropriate widget for the
look and feel. For example, the CreateScrollBar operation on the
MotifWidgetFactory instantiates and returns a Motif scroll bar, while the
corresponding operation on the PMWidgetFactory returns a scroll bar for
Presentation Manager. Clients create widgets solely through the WidgetFactory
interface and have no knowledge of the classes that implement widgets for a
particular look and feel. In other words, clients only have to commit to an interface
defined by an abstract class, not a particular concrete class.
A WidgetFactory also enforces dependencies between the concrete widget classes.
A Motif scroll bar should be used with a Motif button and a Motif text editor,
and that constraint is enforced automatically as a consequence of using a
MotifWidgetFactory. ",,,,,,,,
0,0,"a system should be independent of how its products are created, composed,
and represented.
· a system should be configured with one of multiple families of products.
· a family of related product objects is designed to be used together, and
you need to enforce this constraint.
· you want to provide a class library of products, and you want to reveal
just their interfaces, not their implementations. ",,,,,,,,
0,0,"AbstractFactory (WidgetFactory) o declares an interface for operations that create abstract product objects. · ConcreteFactory (MotifWidgetFactory, PMWidgetFactory) o implements the operations to create concrete product objects. · AbstractProduct (Window, ScrollBar) o declares an interface for a type of product object. · ConcreteProduct (MotifWindow, MotifScrollBar) o defines a product object to be created by the corresponding concrete factory. o implements the AbstractProduct interface. · Client o uses only interfaces declared by AbstractFactory and AbstractProduct classes.",,,,,,,,
0,0,"Normally a single instance of a ConcreteFactory class is created at run-time. This concrete factory creates product objects having a particular implementation. To create different product objects, clients should use a different concrete factory. · AbstractFactory defers creation of product objects to its ConcreteFactory subclass.",,,,,,,,
0,0,"InterViews uses the ""Kit"" suffix to denote AbstractFactory classes. It defines WidgetKit and DialogKit abstract factories for generating look-and-feel-specific user interface objects. InterViews also includes a LayoutKit that generates different composition objects depending on the layout desired. For example, a layout that is conceptually horizontal may require
different composition objects depending on the document's orientation (portrait
or landscape).
ET++ uses the Abstract Factory pattern to achieve portability across
different window systems (X Windows and SunView, for example). The WindowSystem
abstract base class defines the interface for creating objects that represent
window system resources (MakeWindow, MakeFont, MakeColor, for example). Concrete
subclasses implement the interfaces for a specific window system. At run-time,
ET++ creates an instance of a concrete WindowSystem subclass that creates concrete
system resource objects. ",,,,,,,,
0,0,Use when you want to create families of related objects without specifying their concrete classes.,,,,,,,,
0,0,Provides an interface for creating families of related or dependent objects without specifying their concrete classes.,,,,,,,,
